Vernier Format 2
1cm_data_150.cmbl 11/20/17 4:28 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	2.38528331106	0.600091600774
0.05	0.12217304764	2.37073890062	1.70277338439
0.1	0.226892802759	2.49582083035	3.04624596296
0.15	0.366519142919	2.72465288783	3.576308921
0.2	0.506145483078	2.86040071855	3.94476731868
0.25	0.645771823238	3.11250383273	4.30730021583
0.3	0.820304748437	3.3161255788	4.18017129501
0.35	0.977384381117	3.51974732488	4.1747844761
0.4	1.16937059884	3.76215416542	3.70613125064
0.45	1.36135681656	3.87850944882	3.47988486623
0.5	1.55334303427	4.06273864764	3.98624582267
0.55	1.76278254451	4.31484176187	3.86773581197
0.6	1.98967534727	4.48937468708	3.15667574617
0.65	2.21656815003	4.58633742331	3.1836098394
0.7	2.44346095279	4.76087034851	4.01856673456
0.75	2.68780704807	5.02266973631	4.31484176189
0.8	2.94960643587	5.22629148238	3.99701945982
0.85	3.21140582367	5.4105206812	3.82464126208
0.9	3.49065850399	5.59474988002	3.85696217407
0.95	3.76991118431	5.78867535246	4.01856673427
1	4.06661715715	6.031082193	3.64148942655
1.05	4.38077642251	6.14743747642	3.32366712467
1.1	4.67748239534	6.32197040162	3.65764988333
1.15	5.00909495322	6.5546809686	3.34521440013
1.2	5.3407075111	6.66133997846	3.00584482316
1.25	5.67232006898	6.81648035642	3.34521439977
1.3	6.02138591938	6.99101328162	3.81386762474
1.35	6.37045176978	7.19463502769	4.27713403103
1.4	6.7369709127	7.45643441548	4.01317991559
1.45	7.12094334814	7.63096734067	3.18899665751
1.5	7.50491578358	7.72793007684	3.18899665769
1.55	7.88888821901	7.90246300204	4.01317991608
1.6	8.29031394697	8.16426238989	4.2717472126
1.65	8.70919296745	8.36788413596	3.7815467121
1.7	9.12807198793	8.54241706111	3.19977029395
1.75	9.56440430093	8.68786116528	2.70956979474
1.8	10.0007366139	8.77512762788	2.96813709337
1.85	10.4370689269	8.94966055321	3.79232035308
1.9	10.8908545324	9.20176366771	3.79232035231
1.95	11.3620934305	9.37629659289	2.9681370922
2	11.8333323285	9.46356305544	2.70956979466
2.05	12.3045712266	9.60900715967	3.19977029482
2.1	12.7932634171	9.78354008483	3.7815467141
2.15	13.2819556077	9.98716183122	4.26636039463
2.2	13.7881010908	10.2489612189	3.97547218349
2.25	14.3116998664	10.4234941439	3.00045800188
2.3	14.835298642	10.5107606064	2.67724888083
2.35	15.3588974176	10.6562047106	3.02200527657
2.4	15.8999494857	10.8210413621	3.33982758012
2.45	16.4410015538	10.9955742872	3.60378169809
2.5	16.9995069144	11.1798034864	3.81386762719
2.55	17.5580122751	11.3737289588	4.01317991713
2.6	18.1339709282	11.6161357993	3.64148942966
2.65	18.7273828739	11.7324910832	3.32905394577
2.7	19.3033415271	11.9070240084	3.69535761253
2.75	19.9142067653	12.1397345751	3.52297941315
2.8	20.5250720035	12.2560898584	3.44217713238
2.85	21.1359372417	12.4403190571	3.97547218167
2.9	21.7642557724	12.692422171	3.83002807935
2.95	22.4100275956	12.8669550962	2.96813709469
3	23.0557994188	12.9542215592	2.67186206855
3.05	23.7015712421	13.0996656636	3.01661846262
3.1	24.3647963578	13.2645023152	3.30211985306
3.15	25.0280214736	13.4390352408	3.41524304352
3.2	25.7086998819	13.6135681659	3.30211984691
3.25	26.3893782902	13.7784048172	3.01661845426
3.3	27.087509991	13.9238489209	2.67186206188
3.35	27.7856416917	14.0111153836	2.96275027778
3.4	28.4837733925	14.1856483096	3.7977071729
3.45	29.1993583859	14.4377514237	3.83002807926
3.5	29.9323966717	14.6122843484	3.15128892596
3.55	30.6654349575	14.7092470849	3.18360983997
3.6	31.3984732434	14.8837800101	4.01317991611
3.65	32.1489648217	15.1455793978	4.27174721417
3.7	32.9169096926	15.3492011442	3.77615989559
3.75	33.6848545635	15.5237340693	3.16206256395
3.8	34.4702527269	15.6691781736	2.52641795886
3.85	35.2556508903	15.7467483624	2.49409704679
3.9	36.0410490537	15.8921924667	2.98429754753
3.95	36.8439005096	16.0570291182	3.3344407634
4	37.6467519655	16.2315620437	3.59839487756
4.05	38.467056714	16.4157912424	3.77615989086
4.1	39.2873614624	16.6097167143	3.8300280804
4.15	40.1251195033	16.8424272816	3.16206256972
4.2	40.9803308368	16.9296937447	2.47254977846
4.25	41.8180888778	17.0169602074	2.98429754855
4.3	42.6733002113	17.2399745006	3.35598803444
4.35	43.5459648373	17.4048111519	2.96275027034
4.4	44.4186294633	17.5017738881	3.1028075558
4.45	45.2912940893	17.6763068131	3.78693352809
4.5	46.1814120078	17.928409927	3.61455533244
4.55	47.0889832188	18.0932465786	2.48871023278
4.6	47.9965544298	18.1514242208	1.85845244873
4.65	48.9041256409	18.2096018627	2.5210311437
4.7	49.8116968519	18.3744385142	3.75461261907
4.75	50.7367213555	18.6362379021	4.0455008246
4.8	51.6791991516	18.830163374	3.29673302793
4.85	52.6216769476	18.9756074782	2.3432661266
4.9	53.5816080362	19.0337851204	1.99850973272
4.95	54.5240858323	19.1113553094	2.80114571367
5	55.4840169209	19.3343696026	3.31289348759
5.05	56.461401302	19.4992062542	2.91965572577
5.1	57.4387856831	19.5961689908	2.9196557246
5.15	58.4161700643	19.7610056422	3.31289348395
5.2	59.4110077379	19.9840199349	2.79575889247
5.25	60.423298704	20.0615901242	1.9608020008
5.3	61.4181363777	20.1197677661	2.1547274729
5.35	62.4304273438	20.2555155968	2.78498525775
5.4	63.44271831	20.4203522486	3.04893937009
