Vernier Format 2
5cm_data_200.cmbl 11/20/17 4:25 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	3.83972435438	12.1095683905
0.05	0.174532925199	4.36332312999	14.2885365462
0.1	0.401425727959	5.14872129339	16.9167653796
0.15	0.680678408278	6.09895610838	18.7407421841
0.2	1.01229096616	7.10736856508	19.090885398
0.25	1.3962634016	8.02851455913	18.8861862883
0.3	1.81514242207	8.94966055324	19.387160426
0.35	2.28638132011	9.95807301	20.0174182116
0.4	2.80998009571	10.985878014	20.0174182112
0.45	3.38593874887	11.9942904707	19.3817736067
0.5	4.01425727959	12.9154364647	18.891573107
0.55	4.67748239534	13.8365824588	19.2040085909
0.6	5.39306738866	14.835298642	19.537991349
0.65	6.16101225954	15.8340148251	19.1663008597
0.7	6.98131700798	16.7551608191	18.703034453
0.75	7.83652834145	17.6666105396	18.870025832
0.8	8.74409955249	18.6459341754	19.015469936
0.85	9.70403064109	19.576776443	19.0100831182
0.9	10.6988683147	20.5561000789	18.8377049235
0.95	11.7635191584	21.4675497998	18.552203534
1	12.8456232947	22.3789995204	18.832318102
1.05	13.997540601	23.3583231561	18.9723753848
1.1	15.1843644924	24.2891654237	18.8269312788
1.15	16.4235482613	25.2587927854	18.3528912375
1.2	17.7150919077	26.1411536853	17.6579916305
1.25	19.0415421393	26.9653369433	17.9381061996
1.3	20.4028989558	27.9252680314	18.3259571459
1.35	21.8340689424	28.8755028467	17.4910002537
1.4	23.3001455141	29.6705972839	16.7745533691
1.45	24.8011286708	30.4656917211	17.4910002516
1.5	26.3370184126	31.415926536	18.2182207716
1.55	27.9427213244	32.3758576245	16.9792524757
1.6	29.5833308213	33.2000408824	12.4704852418
1.65	31.2588469032	33.8884763096	1.14200555944
1.7	32.9867228627	33.9078688568	-19.6134068107
1.75	34.7669586997	31.823170028	-35.337530534
1.8	36.2330352714	28.7591475635	-21.2725469637
1.85	37.4547657478	28.9821618566	6.29719103559
1.9	39.0604686596	30.6499209197	12.6374766223
1.95	40.6138116939	30.9408091286	4.75386748436
2	42.1671547282	30.872935213	-1.24704852476
2.05	43.7030444699	30.6014395517	-3.20461843236
2.1	45.2214809192	30.4511473106	-2.60452683392
2.15	46.7399173684	30.3881215317	-1.87999972409
