Vernier Format 2
Untitled.cmbl 11/20/17 3:51 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	-6.05047474025	-3.09418864921
0.05	-0.296705972839	-6.19591884458	-3.22454966125
0.1	-0.610865238198	-6.39372282647	-3.10603965031
0.15	-0.942477796077	-6.49650332687	-3.09957546789
0.2	-1.25663706144	-6.67103625207	-3.60270433251
0.25	-1.60570291183	-6.903746819	-3.33228603483
0.3	-1.95476876223	-7.01040582884	-2.96275027345
0.35	-2.30383461263	-7.1655462068	-3.12435483382
0.4	-2.67035375555	-7.33038285838	-3.15667574589
0.45	-3.03687289847	-7.49521950995	-2.98429754816
0.5	-3.42084533391	-7.64066361429	-2.6664752461
0.55	-3.80481776935	-7.72793007689	-2.96275027345
0.6	-4.18879020479	-7.90246300209	-3.79232035001
0.65	-4.59021593275	-8.15456611626	-3.79232035001
0.7	-5.00909495322	-8.32909904146	-2.96275027345
0.75	-5.4279739737	-8.41636550406	-2.67186206478
0.8	-5.84685299418	-8.56180960839	-3.01661846024
0.85	-6.28318530718	-8.72664625997	-3.3075066689
0.9	-6.71951762018	-8.90117918517	-3.45295077324
0.95	-7.1733032257	-9.07571211037	-3.47988486663
1	-7.62708883122	-9.25024503557	-3.45295077324
1.05	-8.09832772925	-9.42477796077	-3.3075066689
1.1	-8.56956662729	-9.58961461235	-3.01123164156
1.15	-9.05825881785	-9.73505871668	-2.63954115271
1.2	-9.54695100841	-9.82232517928	-2.81191935044
1.25	-10.035643199	-9.98716183086	-3.46372441059
1.3	-10.541788682	-10.2198723978	-3.26979893815
1.35	-11.0653874576	-10.3265314076	-2.81191935044
1.4	-11.5715329407	-10.471975512	-2.83346662515
1.45	-12.1125850088	-10.6174196163	-2.81191935044
1.5	-12.6361837844	-10.7240786261	-3.26979893815
1.55	-13.1772358526	-10.9567891931	-3.46372441059
1.6	-13.7357412132	-11.1216258447	-2.81191935044
1.65	-14.2942465738	-11.2088923073	-2.63954115271
1.7	-14.8527519345	-11.3543364116	-3.01123164156
1.75	-15.4287105876	-11.5191730632	-3.30211985022
1.8	-16.0046692408	-11.6937059884	-3.41524304248
1.85	-16.5980811865	-11.8682389136	-3.29673303154
1.9	-17.1914931321	-12.0330755651	-2.97891072948
1.95	-17.8023583703	-12.1785196695	-2.4887102297
2	-18.4132236085	-12.2560898584	-2.4887102297
2.05	-19.0240888467	-12.4015339628	-2.97352391081
2.1	-19.6524073775	-12.5663706144	-3.26441211947
2.15	-20.2807259082	-12.7409035396	-3.26441211947
2.2	-20.9264977314	-12.9057401911	-2.97352391081
2.25	-21.5722695546	-13.0511842955	-2.4887102297
2.3	-22.2354946704	-13.1287544844	-2.48332341102
2.35	-22.8812664936	-13.2741985888	-2.94120299873
2.4	-23.5619449019	-13.4390352404	-3.11358119646
2.45	-24.2251700177	-13.6038718919	-2.94120299873
2.5	-24.9233017185	-13.7493159963	-2.48332341102
2.55	-25.6039801268	-13.8268861852	-2.4887102297
2.6	-26.3021118276	-13.9723302896	-2.97352391081
2.65	-27.0002435284	-14.1371669412	-3.26441211947
2.7	-27.7158285217	-14.3116998664	-3.26441211947
2.75	-28.431413515	-14.4765365179	-2.96813709213
2.8	-29.1644518008	-14.6219806223	-2.45100249894
2.85	-29.8974900867	-14.6995508112	-2.30555839461
2.9	-30.6305283725	-14.835298642	-2.49948386705
2.95	-31.3810199509	-14.9710464727	-2.44561568026
3	-32.1315115292	-15.0583129353	-2.74189070761
3.05	-32.8820031076	-15.2231495868	-3.31289348758
3.1	-33.6499479785	-15.4461638801	-2.97352391081
3.15	-34.4353461418	-15.5334303427	-2.43484204291
3.2	-35.2032910127	-15.6206968053	-2.97891072948
3.25	-35.9886891761	-15.8437110987	-3.35060121833
3.3	-36.791540632	-16.0085477502	-2.93042936137
3.35	-37.594392088	-16.1055104865	-2.95736345477
3.4	-38.3972435439	-16.270347138	-3.49604532267
3.45	-39.2175482923	-16.503057705	-3.27518575683
3.5	-40.0553063333	-16.6097167148	-2.80653253176
3.55	-40.8756110817	-16.7551608191	-2.80114571308
3.6	-41.7308224152	-16.9006049235	-2.66108842742
3.65	-42.5685804561	-16.9975676597	-2.94120299873
3.7	-43.4237917896	-17.2108856794	-2.94120299873
3.75	-44.2964564156	-17.3078484156	-2.65570160874
3.8	-45.1516677491	-17.4532925199	-2.76343798232
3.85	-46.0417856676	-17.5987366243	-2.62338069667
3.9	-46.9144502936	-17.6956993605	-2.7957588944
3.95	-47.8045682121	-17.8993211066	-2.64492797139
4	-48.7121394232	-17.9768912955	-2.28401111989
4.05	-49.6022573417	-18.0641577581	-2.94120299873
4.1	-50.5098285527	-18.2871720515	-3.3075066689
4.15	-51.4348530563	-18.452008703	-2.74189070761
4.2	-52.3598775598	-18.5392751656	-2.44561568026
4.25	-53.2849020634	-18.6750229963	-2.49948386705
4.3	-54.2273798595	-18.8107708271	-2.30555839461
4.35	-55.1698576555	-18.888341016	-2.44561568026
4.4	-56.1123354516	-19.0337851204	-2.93042936137
4.45	-57.0722665402	-19.1986217719	-3.07587346571
4.5	-58.0321976288	-19.3634584235	-2.75805116365
4.55	-59.0095820099	-19.4992062542	-2.00389654859
4.6	-59.986966391	-19.5476876223	-1.63220605974
4.65	-60.9643507722	-19.6058652641	-2.26785066386
4.7	-61.9417351533	-19.761005642	-3.12435483382
4.75	-62.9365728269	-19.9840199353	-2.8981084493
4.8	-63.9488637931	-20.0712863979	-2.24630338914
4.85	-64.9437014667	-20.1488565869	-2.49948386705
